Energy[keV],Fluence_rate [cm^-2s^-1],kerma_rate[keV/g s]
151.8,0.3032,1.150625028
152,0.30428,1.156617989
152.2,0.46842,1.783458246
152.4,0.67613,2.578503775
152.6,0.64071,2.447418204
152.8,0.68473,2.619836743
153,0.16861,0.646168024
153.2,0.44312,1.700943243
153.4,0.27635,1.062510794
153.6,0.59454,2.289599121
153.8,0.095089,0.366785551
154,0.82721,3.195952854
154.2,0.42342,1.638542413
154.4,0.47847,1.854564097
154.6,0.46768,1.815665471
154.8,0.31569,1.22757165
155,0.40102,1.561888888
155.2,1.0277,4.009106814
155.4,0.34072,1.331297627
155.6,0.1018,0.398401223
155.8,0.19724,0.773147451
156,0.62692,2.461347915
156.2,0.38279,1.505268974
156.4,0.5333,2.100471802
156.6,0.87291,3.443543616
156.8,0.47547,1.878664333
157,0.32554,1.288307352
157.2,0.031129,0.123386731
157.4,0.29702,1.179169542
157.6,0.31474,1.251494312
157.8,0.0021914,0.008727384
158,0.40597,1.619350941
158.2,0.61197,2.444898805
158.4,0.92793,3.71303298
158.6,0.42937,1.720787494
158.8,0.27434,1.101198854
159,0.25622,1.030077347
159.2,0.42536,1.712745252
159.4,0.20203,0.814761367
159.6,0.47067,1.90111613
159.8,0.48308,1.954284909
160,0.0022081,0.00894671
160.2,0.11899,0.482869813
160.4,0.28085,1.141479461
160.6,0.62024,2.524798126
160.8,0.43031,1.754367918
161,0.10655,0.435075049
161.2,0.12389,0.506661145
161.4,0.29852,1.222713038
161.6,0.6412,2.630349922
161.8,0.43605,1.791531095
162,0.71789,2.954018107
162.2,0.3737,1.540084968
162.4,0.24244,1.000671063
162.6,0.13218,0.546408496
162.8,0.44804,1.85495024
163,0.24989,1.036161099
163.2,0.35104,1.457797146
163.4,0.27398,1.139516424
163.6,0.40523,1.687966064
163.8,0.34548,1.441267465
164,0.22538,0.941663542
164.2,0.66252,2.772280974
164.4,0.47514,1.991209134
164.6,0.58434,2.452545612
164.8,1.1824,4.97017015
165,0.64767,2.726560518
165.2,0.30473,1.284784429
165.4,0.46827,1.977262135
165.6,0.58463,2.472299284
165.8,0.58527,2.478719667
166,0.51187,2.171106876
166.2,0.13796,0.586035956
166.4,0.45359,1.929671027
166.6,0.53584,2.282983855
166.8,0.13814,0.589432727
167,0.44533,1.903018505
167.2,0.67891,2.905485489
167.4,0.49632,2.127222466
167.6,0.42774,1.836009036
167.8,0.50871,2.186795768
168,0.51444,2.214699805
168.2,0.26457,1.140675496
168.4,0.39412,1.701729613
168.6,0.62972,2.723010576
168.8,0.27031,1.170584869
169,0.36447,1.58066824
169.2,0.81061,3.520693676
169.4,0.21981,0.956093288
169.6,0.50805,2.213069321
169.8,0.18578,0.81044297
170,0.012305,0.053757524
170.2,0.2983,1.305101347
170.4,0.37708,1.652178744
170.6,0.48239,2.116672081
170.8,0.10837,0.4762065
171,0.37765,1.661903884
171.2,0.50103,2.208053149
171.4,0.27462,1.212010952
171.6,0.38087,1.683367542
171.8,0.61205,2.709044263
172,0.27361,1.212794994
172.2,0.52433,2.327477994
172.4,0.45503,2.02276566
172.6,0.37037,1.648789555
172.8,0.38539,1.718117938
173,0.72795,3.249947966
173.2,0.81994,3.665881993
173.4,0.15781,0.706564318
173.6,0.13965,0.62614962
173.8,0,0
174,0,0
174.2,0.77606,3.494522573
174.4,0.69589,3.13797922
174.6,0.16079,0.726080297
